URI,Title,RecordId,ParentType URI,From Date,To Date,Authority,Deity,Dynasty,Denomination,Issuer,Manufacture,Material,Mint,Object Type,Portrait,Region,State,Symbol_obv,Symbol_obv_letter,Symbol_rev,Symbol_rev_letter,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Reverse Officina Mark,Reverse Exergue,Date Record Modified
http://numismatics.org/ocre/id/ric.2_1(2).tit.461,"RIC II, Part 1 (second edition) Titus 461",ric.2_1(2).tit.461,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG RESTITVIT S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:55Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.462,"RIC II, Part 1 (second edition) Titus 462",ric.2_1(2).tit.462,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T CAES AVG RESTITVIT S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:56Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.463,"RIC II, Part 1 (second edition) Titus 463",ric.2_1(2).tit.463,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T VESP AVG RESTITVIT S C,"Eagle standing front on globe, head right, wings spread",,,2026-01-06T02:36:57Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.464,"RIC II, Part 1 (second edition) Titus 464",ric.2_1(2).tit.464,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C,"Eagle standing front on globe, head left, wings spread",,,2026-01-06T02:36:57Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.465,"RIC II, Part 1 (second edition) Titus 465",ric.2_1(2).tit.465,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG RESTITV S C,"Eagle standing front on globe, head left, wings spread",,,2026-01-06T02:36:58Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.466,"RIC II, Part 1 (second edition) Titus 466",ric.2_1(2).tit.466,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG RESTITVIT S C,"Eagle standing front on globe, head left, wings spread",,,2026-01-06T02:37:00Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.467,"RIC II, Part 1 (second edition) Titus 467",ric.2_1(2).tit.467,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left; star above",IMP T VESP AVG REST S C,"Eagle standing front on globe, head left, wings spread",,,2026-01-06T02:37:00Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.468,"RIC II, Part 1 (second edition) Titus 468",ric.2_1(2).tit.468,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, right",IMP T VESP AVG REST S C,"Eagle standing front on thunderbolt, head left, wings spread",,,2026-01-06T02:37:01Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.469,"RIC II, Part 1 (second edition) Titus 469",ric.2_1(2).tit.469,,80,81,Titus,,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Augustus,Latium,Roman Empire,,,,,DIVVS AVGVSTVS PATER,"Head of Divus Augustus, radiate, left",IMP T VESP AVG REST S C,"Eagle standing front on thunderbolt, head left, wings spread",,,2026-01-06T02:37:02Z
http://numismatics.org/ocre/id/ric.2_1(2).tit.470,"RIC II, Part 1 (second edition) Titus 470",ric.2_1(2).tit.470,,80,81,Titus,Neptune,Flavian Dynasty,As,,Struck,Bronze,Rome,Coin,Agrippa,Latium,Roman Empire,,,,,M AGRIPPA L F COS III,"Head of Agrippa, wearing rostral crown, right",IMP T VESP AVG REST S C,"Neptune standing left, holding dolphin in right and trident in left",,,2026-01-06T02:37:02Z
